activity_identifier,url,format,title,tile_lang,description,description_lang,category_code,lenguage_code,document_date
XM-DAC-46007-500429,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2236 ENACAL 7 ciudades firmado 09 10 19.pdf,application/pdf,Contrato Préstamo 2236 ENACAL 7 ciudades firmado 09 10 19,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2019-10-09
XM-DAC-46007-500218,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2187 PSSEN firmado.pdf,application/pdf,Contrato Préstamo 2187 PSSEN firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2017-01-27
XM-DAC-46007-501151,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Publicación en La Gaceta- Contrato El Tablón.pdf,application/pdf,Publicación en La Gaceta- Contrato El Tablón,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-02-18
XM-DAC-46007-302441,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2145 Hosp Bilwi firmado 23 09 20151.pdf,application/pdf,Contrato de Préstamo 2145 Hosp Bilwi firmado 23 09 2015,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2015-09-23
XM-DAC-46007-500276,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2210 Saneamiento Bluefields Firmado 6 04 181.pdf,application/pdf,Contrato Préstamo 2210 Saneamiento Bluefields Firmado 6 04 18,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2018-04-06
XM-DAC-46007-500739,https://bcie2014.sharepoint.com/sites/DocPubDoc_Pub/315/CTO PTMO 2272 TRAMO B y UKEF - REPUBLICA DE NICARAGUA.pdf,application/pdf,CTO PTMO 2272 TRAMO B y UKEF - REPUBLICA DE NICARAGUA,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-10-05
XM-DAC-46007-500720,https://bcie2014.sharepoint.com/:b:/s/DocPub/EVV9gZxJ0i5OpM0vATA4e44BwbJuscG1uCW491HYYKVjyA,application/pdf,Contrato de Prestamo 2282 BONO,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-08-20
XM-DAC-46007-500845,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/BCIE- CONTRATO No. 2302 firmado1.pdf,application/pdf,BCIE- CONTRATO No. 2302 firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-02-17
XM-DAC-46007-500832,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo Linea 2C Metro SD signed.pdf,application/pdf,Contrato Préstamo Linea 2C Metro SD signed,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-11-25
XM-DAC-46007-500901,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2317 REPÚBLICA COSTA RICA PROERI.pdf,application/pdf,CTO PTMO 2317 REPÚBLICA COSTA RICA PROERI,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2024-02-28
XM-DAC-46007-501078,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo- Carreteras Resilientes (Firmado 14DIC23).pdf,application/pdf,Contrato Préstamo- Carreteras Resilientes (Firmado 14DIC23),es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-12-14
XM-DAC-46007-500856,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Prestamo Programa Crisis Combustibles HN-firmado.pdf,application/pdf,Contrato Prestamo Programa Crisis Combustibles HN-firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2022-11-10
XM-DAC-46007-500995,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo No. 2329 PAHR-HND (firmado 14DIC23).pdf,application/pdf,Contrato Préstamo No. 2329 PAHR-HND (firmado 14DIC23),es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-12-14
XM-DAC-46007-302457,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2147  PROGRAMA INTEGRAL DE SEGURIDAD DE BELICE1.pdf,application/pdf,Contrato de Préstamo 2147,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-11-21
XM-DAC-46007-501243,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2357-A firmado XI Programa MTI.pdf,application/pdf,Contrato de Préstamo 2357-A firmado XI Programa MTI,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-10-15
XM-DAC-46007-500346,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2228 Mejoramiento Aeropuertos CCaribe Sur Firmado 04 04 19.pdf,application/pdf,Contrato Préstamo 2228 Mejoramiento Aeropuertos CCaribe Sur Firmado 04 04 19,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2019-04-04
XM-DAC-46007-500397,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2229 firmado el 04 04 2019.pdf,application/pdf,Contrato Préstamo 2229 firmado el 04 04 2019,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2019-04-04
XM-DAC-46007-500212,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo 2189 NICAVIDA firmado 09 05 17.pdf,application/pdf,Contrato Préstamo 2189 NICAVIDA firmado 09 05 17,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2017-05-09
XM-DAC-46007-500193,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2182 MTI VI Proyecto firmado.pdf,application/pdf,Contrato de Préstamo 2182 MTI VI Proyecto firmado,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2016-11-01
XM-DAC-46007-500451,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2237 REPUBLICA DE EL SALVADOR SV1.pdf,application/pdf,CTO PTMO 2237 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-11-25
XM-DAC-46007-500451,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/ADENDA 1 CTO PTMO 2237 REPUBLICA DE EL SALVADOR SV1.pdf,application/pdf,ADENDA 1 CTO PTMO 2237 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-07-12
XM-DAC-46007-302349,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2120 REPUBLICA DE EL SALVADOR SV1.pdf,application/pdf,CTO PTMO 2120 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2015-09-17
XM-DAC-46007-302349,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/ADENDA 1 CTO PTMO 2120 REPUBLICA DE EL SALVADOR SV1.pdf,application/pdf,ADENDA 1 CTO PTMO 2120 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-07-12
XM-DAC-46007-302253,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2102 REPUBLICA DE EL SALVADOR SV.pdf,application/pdf,CTO PTMO 2102 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2013-10-08
XM-DAC-46007-302253,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/ADENDA 1 CTO PTMO 2102 ES1.pdf,application/pdf,ADENDA 1 CTO PTMO 2102 ES,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-07-12
XM-DAC-46007-302443,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2146 REPUBLICA DE EL SALVADOR FGR SV.pdf,application/pdf,CTO PTMO 2146 REPUBLICA DE EL SALVADOR FGR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2015-04-30
XM-DAC-46007-302443,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/ADENDA 1 2146 REPUBLICA DE EL SALVADOR FSV.pdf,application/pdf,ADENDA 1 2146 REPUBLICA DE EL SALVADOR FSV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-07-12
XM-DAC-46007-500634,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO 2256 REPUBLICA DE EL SALVADOR SV.pdf,application/pdf,CTO PTMO 2256 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2021-08-19
XM-DAC-46007-500634,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/ADENDA 1 CTO PTMO 2256 REPUBLICA DE EL SALVADOR SV1.pdf,application/pdf,ADENDA 1 CTO PTMO 2256 REPUBLICA DE EL SALVADOR SV,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-07-12
XM-DAC-46007-501138,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/CTO PTMO No. 2337 REPUBLICA DE EL SALVADOR.pdf,application/pdf,CTO PTMO No. 2337 REPUBLICA DE EL SALVADOR,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-03-25
XM-DAC-46007-501079,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato Préstamo No. 2332 Agroindustria y Cajas Rurales (firmado 14DIC23).pdf,application/pdf,Contrato Préstamo No. 2332 Agroindustria y Cajas Rurales (firmado 14DIC23),es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2023-12-14
XM-DAC-46007-501080,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/BCIE -CONTRATO No. 2331.pdf,application/pdf,BCIE -CONTRATO No. 2331,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2024-04-25
XM-DAC-46007-501142,https://bcie2014.sharepoint.com/sites/DocPub/Doc_Pub/315/Contrato de Préstamo 2338 firmado 10 03 25 RLindo 11 03 25.pdf,application/pdf,Contrato de Préstamo 2338 firmado ,es,Contrato de Prestamo Sector Público con Garantía Soberana y sus correspondientes modificaciones,es,A11,es,2025-03-10
