activity_identifier,org_ref,org_name,org_name_lang,org_type,role,activity_id,crs_channel_code
XM-DAC-46008-cfa011985,,"Ministerio de Economía de la Nación por intermedio de la Secretaría de Energia, a través de la empresa Energía Argentina S.A. ENARSA",,,4,,
XM-DAC-46008-cfa012430,,MINISTERIO DE ECOLOGIA Y RECURSOS NATURALES RENOVABLES,,,4,,
XM-DAC-46008-cfa006843,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa012615,,REPúBLICA DE HONDURAS,,,4,,
XM-DAC-46008-cfa011917,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa010385,,REPúBLICA DE COLOMBIA,,,4,,
XM-DAC-46008-cfa004495,,MINISTERIO DE ECONOMíA Y FINANZAS DE PERú,,,4,,
XM-DAC-46008-cfa006934,,FONDO DE INFRAESTRUCTURA COLOMBIA ASHMORE I - FCP,,,4,,
XM-DAC-46008-cfa009301,,REPúBLICA ARGENTINA,,,4,,
XM-DAC-46008-cfa005319,,"EMPRESA PROPIETARIA DE LA RED, S.A.",,,4,,
XM-DAC-46008-cfa009170,,MINISTERIO DE FINANZAS Y ASUNTOS ECONóMICOS DE BARBADOS,,,4,,
XM-DAC-46008-cfa012497,,ADMINISTRADORA NACIONAL DE ELECTRICIDAD - ANDE,,,4,,
XM-DAC-46008-cfa004844,,INSTITUTO NACIONAL DE VIAS,,,4,,
XM-DAC-46008-cfa008993,,MINISTERIO DE FINANZAS Y ASUNTOS ECONóMICOS DE BARBADOS,,,4,,
XM-DAC-46008-cfa008633,,ADMINISTRADORA NACIONAL DE ELECTRICIDAD - ANDE,,,4,,
XM-DAC-46008-cfa011065,,DEPARTAMENTO NACIONAL DE PLANEACION DE COLOMBIA,,,4,,
XM-DAC-46008-cfa010569,,PREFEITURA MUNICIPAL DE SOBRAL,,,4,,
XM-DAC-46008-cfa006616,,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA,,,4,,
XM-DAC-46008-cfa012644,,REPúBLICA ARGENTINA,,,4,,
XM-DAC-46008-cfa012327,,MUNICIPALIDAD DEL CANTON PORTOVIEJO,,,4,,
XM-DAC-46008-cfa007840,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa008759,,MINISTERIO DE ELECTRICIDAD Y ENERGIAS RENOVABLES DE ECUADOR,,,4,,
XM-DAC-46008-cfa011663,,CORPORACIóN DEL ACUEDUCTO Y ALCANTARILLADO DE SANTO DOMINGO,,,4,,
XM-DAC-46008-cfa008379,,ACTIS ENERGY 3 C FEEDER L.P,,,4,,
XM-DAC-46008-cfa008086,,"MINISTERIO DE PLANIFICACIóN FEDERAL, INVERSIóN PúBLICA Y SERVICIOS, ARGENTINA",,,4,,
XM-DAC-46008-cfa012487,,DEPARTAMENTO NACIONAL DE PLANEACION DE COLOMBIA,,,4,,
XM-DAC-46008-cfa010449,,MINISTERIO DE SALUD,,,4,,
XM-DAC-46008-cfa008717,,ESTADO DE SANTA CATARINA,,,4,,
XM-DAC-46008-cfa012302,,REPúBLICA DE COLOMBIA,,,4,,
XM-DAC-46008-cfa008794,,GENERADORA DE ENERGIA DEL PERU S.A,,,4,,
XM-DAC-46008-cfa006029,,BANCO DEL ESTADO,,,4,,
XM-DAC-46008-cfa012126,,MINISTERIO DE FINANZAS TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa012184,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa011904,,GOBIERNO MUNICIPAL DEL CANTóN LA LIBERTAD,,,4,,
XM-DAC-46008-cfa007950,,UGP APARECIDA DE GOIâNIA,,,4,,
XM-DAC-46008-cfa010787,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa007860,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa011726,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa004991,,MINISTERIO DE PLANIFICACIóN DEL DESARROLLO,,,4,,
XM-DAC-46008-cfa011799,,REPúBLICA ARGENTINA,,,4,,
XM-DAC-46008-cfc011765,,CONCESSIONáRIA LINHA UNIVERSIDADE PARTICIPAçõES S.A,,,4,,
XM-DAC-46008-cfa010634,,PREFECTURA MUNICIPAL DE MACEIO,,,4,,
XM-DAC-46008-cfa012629,,REPúBLICA DE HONDURAS,,,4,,
XM-DAC-46008-cfa010298,,TERMINAL PORTUARIO PARACAS S.A.,,,4,,
XM-DAC-46008-cfa008239,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa008793,,GENERADORA DE ENERGIA DEL PERU S.A,,,4,,
XM-DAC-46008-cfa011909,,MINISTERIO DE ECONOMíA Y FINANZAS DE PERú,,,4,,
XM-DAC-46008-cfa011650,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa008491,,GOBIERNO DE LA PROVINCIA DE PICHINCHA,,,4,,
XM-DAC-46008-cfa005842,,INSTITUTO NACIONAL DE VIAS,,,4,,
XM-DAC-46008-cfa007894,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa010454,,MINISTERIO DE SALUD,,,4,,
XM-DAC-46008-cfa011209,,COMISIóN NACIONAL DE MEJORA REGULATORIA,,,4,,
XM-DAC-46008-cfa011857,,MINISTERIO DE FINANZAS TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa008814,,Administradora Boliviana De Carreteras,,,4,,
XM-DAC-46008-cfl0000003786,,Banco Continental,,,4,,
XM-DAC-46008-cfa011666,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa008832,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa011865,,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,,,4,,
XM-DAC-46008-cfa010352,,MUNICIPIO DE FORTALEZA,,,4,,
XM-DAC-46008-cfa011899,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa011375,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa007836,,EMPRESA MUNICIPAL DE MOVILIDAD Y OBRAS PúBLICAS DE QUITO,,,4,,
XM-DAC-46008-cfa008702,,MUNICIPIO DE LOJA DE L A REPUBLICA DE ECUADOR,,,4,,
XM-DAC-46008-cfa007142,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfl0000003946,,ENEL CHILE S.A.,,,4,,
XM-DAC-46008-cfa004536,,INSTITUTO DE DESARROLLO URBANO,,,4,,
XM-DAC-46008-cfa011786,,MINISTERIO DE DESARROLLO SOCIAL,,,4,,
XM-DAC-46008-cfa012479,,MINISTERIO DE FINANZAS TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa010048,,SECRETARIA MUNICIPAL DE TRANSPORTES E VIAS PúBLICAS,,,4,,
XM-DAC-46008-cfa012447,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa006966,,SECRETARíA DE ENERGíA,,,4,,
XM-DAC-46008-cfa008519,,GOBIERNO REGIONAL LA LIBERTAD,,,4,,
XM-DAC-46008-cfa011724,,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA,,,4,,
XM-DAC-46008-cfa008606,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa007725,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa011810,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa010094,,MINISTERIO DE FINANZAS,,,4,,
XM-DAC-46008-cfa004580,,MINISTERIO DE ECONOMíA Y FINANZAS DE PERú,,,4,,
XM-DAC-46008-cfa005702,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa004990,,MINISTERIO DE PLANIFICACIóN DEL DESARROLLO,,,4,,
XM-DAC-46008-cfa008756,,CADONAL S.A.,,,4,,
XM-DAC-46008-cfa011537,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa011688,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa008744,,EMPRESA MUNICIPAL DE MOVILIDAD Y OBRAS PúBLICAS DE QUITO,,,4,,
XM-DAC-46008-cfa009646,,MINISTERIO DE PLANIFICACIóN DEL DESARROLLO,,,4,,
XM-DAC-46008-cfa006959,,MINISTERIO DE TRANSPORTE DE COLOMBIA,,,4,,
XM-DAC-46008-cfa011578,,Ministerio de Salud de la Nación,,,4,,
XM-DAC-46008-cfa011948,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa008640,,"MINISTERIO DE PLANIFICACIóN FEDERAL, INVERSIóN PúBLICA Y SERVICIOS, ARGENTINA",,,4,,
XM-DAC-46008-cfa012118,,MINISTERIO DE ECONOMíA Y FINANZAS DE LA REPúBLICA ORIENTAL DEL URUGUAY,,,4,,
XM-DAC-46008-cfa010426,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa010515,,Ministerio de Obras Públicas y Comunicaciones del Paraguay,,,4,,
XM-DAC-46008-cfa008789,,Administradora Boliviana De Carreteras,,,4,,
XM-DAC-46008-cfa009408,,ADMINISTRACIóN NACIONAL DE CORREOS,,,4,,
XM-DAC-46008-cfa009929,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa009277,,Administradora Boliviana De Carreteras,,,4,,
XM-DAC-46008-cfa010451,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa009629,,CORPORACIóN VIAL DEL URUGUAY,,,4,,
XM-DAC-46008-cfa008839,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa010910,,CENTROS EDUCATIVOS PRIMERA INFANCIA,,,4,,
XM-DAC-46008-cfa010170,,Administradora Nacional de Electricidad - ANDE,,,4,,
XM-DAC-46008-cfa011574,,MINISTERIO DE OBRAS PUBLICAS DE LA NACION,,,4,,
XM-DAC-46008-cfa011448,,GRUPO SAN JOSé,,,4,,
XM-DAC-46008-cfa008340,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa011215,,Ministerio de Economía y Finanzas,,,4,,
XM-DAC-46008-cfa008591,,"MINISTERIO DE PLANIFICACIóN FEDERAL, INVERSIóN PúBLICA Y SERVICIOS, ARGENTINA",,,4,,
XM-DAC-46008-cfa010917,,MINISTERIO DE PLANIFICACIóN DEL DESARROLLO,,,4,,
XM-DAC-46008-cfa010259,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa010588,,MUNICIPALIDAD DE QUITO,,,4,,
XM-DAC-46008-cfa010574,,CONSORCIO PPP RUTAS DEL LITORAL,,,4,,
XM-DAC-46008-cfa008041,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa008619,,INSTITUTO NACIONAL DE LA VIVIENDA,,,4,,
XM-DAC-46008-cfa011583,,Ministerio de Desarrollo Social,,,4,,
XM-DAC-46008-cfa011419,,MINISTERIO DE ECONOMíA Y FINANZAS PúBLICAS,,,4,,
XM-DAC-46008-cfa004987,,MINISTERIO DE PLANIFICACIóN DEL DESARROLLO,,,4,,
XM-DAC-46008-cfa008237,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa011919,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa006903,,BANCO DEL ESTADO,,,4,,
XM-DAC-46008-cfa009211,,Corporación Eléctrica Nacional S.A.,,,4,,
XM-DAC-46008-cfa010606,,Ministerio de Obras Públicas y Comunicaciones del Paraguay,,,4,,
XM-DAC-46008-cfa008507,,SECRETARIA METRO DE PANAMA,,,4,,
XM-DAC-46008-cfa011367,,MINISTERIO DE DESARROLLO SOCIAL,,,4,,
XM-DAC-46008-cfa011549,,Ministerio de Economía y Finanzas,,,4,,
XM-DAC-46008-cfa011395,,MINISTéRIO DA ECONOMIA DA REPúBLICA FEDERATIVA DO BRASIL,,,4,,
XM-DAC-46008-cfa010869,,Administradora Boliviana de Carreteras ABC,,,4,,
XM-DAC-46008-cfa009543,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa007649,,ESTADO PLURINACIONAL DE BOLIVIA,,,4,,
XM-DAC-46008-cfa008586,,MUNICIPIO DE CANOAS,,,4,,
XM-DAC-46008-cfa011245,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa008785,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa012483,,BANCO PICHINCHA C.A.,,,4,,
XM-DAC-46008-cfa011759,,DEPARTAMENTO NACIONAL DE PLANEACION DE COLOMBIA,,,4,,
XM-DAC-46008-cfa012559,,SECRETARIA DE HACIENDA Y CRéDITO PúBLICO,,,4,,
XM-DAC-46008-cfa007151,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa011363,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa006271,,ESTADO DE PARAíBA,,,4,,
XM-DAC-46008-cfa010666,,MINISTERIO DE ECONOMíA Y FINANZAS DE PERú,,,4,,
XM-DAC-46008-cfa011788,,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,,,4,,
XM-DAC-46008-cfa012198,,DEPARTAMENTO NACIONAL DE PLANEACION DE COLOMBIA,,,4,,
XM-DAC-46008-cfa009691,,REPúBLICA DEL PERú,,,4,,
XM-DAC-46008-cfa009344,,ESTADO PLURINACIONAL DE BOLIVIA,,,4,,
XM-DAC-46008-cfa011750,,MINISTERIO DE SALUD Y DEPORTES,,,4,,
XM-DAC-46008-cfa007996,,SECRETARIA DE ESTADO DE OBRAS DO DISTRITO FEDERAL,,,4,,
XM-DAC-46008-cfa009693,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa009117,,MUNICIPALIDAD DE CUENCA,,,4,,
XM-DAC-46008-cfa007657,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa011207,,REPúBLICA DE TRINIDAD Y TOBAGO,,,4,,
XM-DAC-46008-cfa009481,,SECRETARIA MUNICIPAL DE GESTãO,,,4,,
XM-DAC-46008-cfa011387,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa011613,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa009150,,MUY ILUSTRE MUNICIPALIDAD DE GUAYAQUIL,,,4,,
XM-DAC-46008-cfa005802,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa009914,,MINISTERIO DE FINANZAS,,,4,,
XM-DAC-46008-cfa008763,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa006536,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa012239,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa010148,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa010546,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa011385,,MINISTERIO DE FINANZAS Y ASUNTOS ECONóMICOS DE BARBADOS,,,4,,
XM-DAC-46008-cfa007783,,PREFEITURA DO MUNICíPIO DE HORTOLANDIA,,,4,,
XM-DAC-46008-cfa007788,,MUNICIPIO DE FORTALEZA,,,4,,
XM-DAC-46008-cfa011504,,MINISTERIO DE ECONOMíA Y FINANZAS DE PERú,,,4,,
XM-DAC-46008-cfa009784,,MINISTERIO DE PLANIFICACIóN DEL DESARROLLO,,,4,,
XM-DAC-46008-cfa011831,,CONSORCIO INFRAESTRUCTURA EDUCATIVA URUGUAYA,,,4,,
XM-DAC-46008-cfa011264,,MINISTERIO DE HACIENDA Y CREDITO PUBLICO DE COLOMBIA,,,4,,
XM-DAC-46008-cfa011235,,Ministerio del Interior de la Nación,,,4,,
XM-DAC-46008-cfa012636,,CAJA DE JUBILACIONES Y PENSIONES BANCARIAS,,,4,,
XM-DAC-46008-cfa009896,,OSE,,,4,,
XM-DAC-46008-cfa010459,,MINISTERIO DE ECONOMíA ARGENTINA,,,4,,
XM-DAC-46008-cfa011250,,Ministerio de Salud y Deportes,,,4,,
XM-DAC-46008-cfa008109,,SECRETARIA METRO DE PANAMA,,,4,,
XM-DAC-46008-cfa011571,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa009883,,PREFEITURA MUNICIPAL DE ALAGOINHAS,,,4,,
XM-DAC-46008-cfa011208,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa011805,,MINISTERIO DE ECONOMíA Y FINANZAS PúBLICAS,,,4,,
XM-DAC-46008-cfa008711,,MINISTERIO DE OBRAS PúBLICAS Y COMUNICACIONES DE PARAGUAY,,,4,,
XM-DAC-46008-cfa012364,,MINISTERIO DE ECONOMíA Y FINANZAS PúBLICAS,,,4,,
XM-DAC-46008-cfa008707,,CADONAL S.A.,,,4,,
XM-DAC-46008-cfa011243,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa012008,,PAN AMERICAN ENERGY LLC,,,4,,
XM-DAC-46008-cfa006532,,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,4,,
XM-DAC-46008-cfa010602,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa008602,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa011636,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa004515,,BANCO DEL ESTADO,,,4,,
XM-DAC-46008-cfa010482,,MUY ILUSTRE MUNICIPALIDAD DE GUAYAQUIL,,,4,,
XM-DAC-46008-cfa011684,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa011854,,MINISTERIO DE HACIENDA,,,4,,
XM-DAC-46008-cfa011260,,Ministerio de Economía y Finanzas,,,4,,
XM-DAC-46008-cfa012323,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa007943,,MINISTERIO DE MEDIO AMBIENTE Y AGUA,,,4,,
XM-DAC-46008-cfa004492,,MINISTERIO DE ECONOMíA Y FINANZAS,,,4,,
XM-DAC-46008-cfa012363,,MINISTERIO DE ECONOMíA Y FINANZAS PúBLICAS,,,4,,
